Course Name,Award,A Levels,UCAS Code,Duration,Start Month,Accreditation,Home Students Fees,Overseas Students Fees
Physics with Medical Physics,MPhys,AAA,F371,4 years,September start,Accredited,"£9,250","£26,950"
Physics with Particle Physics,BSc,AAB,F372,3 years,September start,Accredited,"£9,250","£26,950"
Physics with Particle Physics,MPhys,AAA,F373,4 years,September start,Accredited,"£9,250","£26,950"
Physics with Philosophy,BSc,AAB,FV35,3 years,September start,Accredited,"£9,250","£26,950"
Physics with Philosophy,MPhys,AAA,F3V5,4 years,September start,Accredited,"£9,250","£26,950"
Plant Sciences,MBiolSci,AAA,C209,4 years,September start,Not found,"£9,250","£9,250"
Plant Sciences,BSc,AAB,C200,3 years,September start,Not found,"£9,250","£26,950"
Plant Sciences with Placement Year,MBiolSci,AAA,C204,5 years,September start,Not found,"£9,250","£26,950"
Plant Sciences with Placement Year,BSc,AAB,C205,4 years,September start,Not found,"£9,250","£26,950"
Politics,BA,AAB,L210,3 years,September start,Not found,"£9,250","£21,000"
Politics and Modern Languages & Cultures,BA,ABB,RL60,4 years,September start,Not found,"£9,250","£21,000"
Politics and Philosophy,BA,AAB,LV25,3 years,September start,Not found,"£9,250","£21,000"
Politics and Sociology,BA,ABB,LL23,3 years,September start,Not found,"£9,250","£21,000"
"Politics, Philosophy and Economics",BA,AAA,L200,3 years,September start,Not found,"£9,250","£21,000"
"Politics, Philosophy and Economics",BSc,AAA,L2V5,3 years,September start,Not found,"£9,250","£21,000"
Psychology,BSc,AAB,C800,3 years,September start,Accredited,"£9,250","£26,950"
Psychology with Placement Year,BSc,AAB,C803,4 years,September start,Accredited,"£9,250","£26,950"
Robotics with a Foundation Year,BEng,BBB; BBC,H653,4 years,September start,Accredited,"£9,250","£26,950"
Robotics with a Foundation Year,MEng,BBB; BBC,H659,5 years,September start,Accredited,"£9,250","£26,950"
Sociology,BA,BBB,L300,3 years,September start,Not found,"£9,250","£21,000"
Sociology with Social Policy,BA,BBB,LL34,3 years,September start,Not found,"£9,250","£21,000"
Software Engineering with a Foundation Year,BEng | MEng,BBB; BBC,G651,5 years,September start,Accredited,"£9,250","£26,950"
Speech and Language Therapy,BMedSci,AAB,B621,3 years,September start,Accredited,"£9,250","£26,950"
Structural Engineering and Architecture,MEng,AAA,HK21,4 years,September start,Accredited,"£9,250","£26,950"
Structural Engineering and Architecture with an Industrial Placement Year,MEng,AAA,HK22,5 years,September start,Accredited,"£9,250","£26,950"
Theoretical Physics,MPhys,AAA,F321,4 years,September start,Accredited,"£9,250","£26,950"
Theoretical Physics,BSc,AAB,F344,3 years,September start,Accredited,"£9,250","£26,950"
Theoretical Physics with an Industrial Placement Year,MPhys,AAA,F322,5 years,September start,Accredited,"£9,250","£26,950"
Theoretical Physics with an Industrial Placement Year,BSc,AAB,F345,3 years,Not found,Accredited,"£9,250","£26,950"
Urban Studies,BA,ABB,L722,3 years,September start,Not found,"£9,250","£21,000"
Urban Studies and Planning,MPlan(UG),ABB,K400,4 years,September start,Accredited,"£9,250","£21,000"
Zoology,BSc,AAB,C300,3 years,September start,Not found,"£9,250","£26,950"
Zoology,MBiolSci,AAA,C309,4 years,September start,Not found,"£9,250","£26,950"
Zoology with Placement Year,BSc,AAB,C305,4 years,September start,Not found,Not found,Not found
Zoology with Placement Year,MBiolSci,AAA,C304,5 years,September start,Not found,"£9,250","£26,950"
